row_index,filename,reason
26,00026.json,sparql_gateway_failure_502_raw
67,00067.json,sparql_gateway_failure_502_raw
69,00069.json,sparql_gateway_failure_502_raw
117,00117.json,sparql_gateway_failure_502_raw
154,00154.json,sparql_gateway_failure_502_raw
189,00189.json,sparql_gateway_failure_502_raw
206,00206.json,sparql_gateway_failure_502_raw
233,00233.json,sparql_gateway_failure_502_raw
289,00289.json,sparql_gateway_failure_502_raw
290,00290.json,sparql_gateway_failure_502_raw
291,00291.json,sparql_gateway_failure_502_raw
292,00292.json,sparql_gateway_failure_502_raw
293,00293.json,sparql_gateway_failure_502_raw
294,00294.json,sparql_gateway_failure_502_raw
295,00295.json,sparql_gateway_failure_502_raw
296,00296.json,sparql_gateway_failure_502_raw
297,00297.json,sparql_gateway_failure_502_raw
298,00298.json,sparql_gateway_failure_502_raw
299,00299.json,sparql_gateway_failure_502_raw
300,00300.json,sparql_gateway_failure_502_raw
301,00301.json,sparql_gateway_failure_502_raw
302,00302.json,sparql_gateway_failure_502_raw
303,00303.json,sparql_gateway_failure_502_raw
304,00304.json,sparql_gateway_failure_502_raw
305,00305.json,sparql_gateway_failure_502_raw
306,00306.json,sparql_gateway_failure_502_raw
307,00307.json,sparql_gateway_failure_502_raw
308,00308.json,sparql_gateway_failure_502_raw
309,00309.json,sparql_gateway_failure_502_raw
310,00310.json,sparql_gateway_failure_502_raw
311,00311.json,sparql_gateway_failure_502_raw
312,00312.json,sparql_gateway_failure_502_raw
313,00313.json,sparql_gateway_failure_502_raw
314,00314.json,sparql_gateway_failure_502_raw
315,00315.json,sparql_gateway_failure_502_raw
316,00316.json,sparql_gateway_failure_502_raw
317,00317.json,sparql_gateway_failure_502_raw
318,00318.json,sparql_gateway_failure_502_raw
319,00319.json,sparql_gateway_failure_502_raw
320,00320.json,sparql_gateway_failure_502_raw
322,00322.json,sparql_gateway_failure_502_raw
323,00323.json,sparql_gateway_failure_502_raw
324,00324.json,sparql_gateway_failure_502_raw
325,00325.json,sparql_gateway_failure_502_raw
