row_index,filename,reason
21,00021.json,sparql_gateway_failure_502_raw
40,00040.json,null_output
47,00047.json,sparql_gateway_failure_502_raw
57,00057.json,sparql_gateway_failure_502_raw
58,00058.json,null_output
65,00065.json,script_error_payload:invalid_json_stdout
73,00073.json,null_output
77,00077.json,null_output
82,00082.json,null_output
88,00088.json,sparql_gateway_failure_502_raw
92,00092.json,sparql_gateway_failure_502_raw
94,00094.json,null_output
95,00095.json,null_output
97,00097.json,null_output
111,00111.json,null_output
116,00116.json,null_output
124,00124.json,sparql_gateway_failure_502_raw
140,00140.json,null_output
146,00146.json,null_output
147,00147.json,null_output
148,00148.json,null_output
149,00149.json,sparql_gateway_failure_502_raw
