row_index,filename,reason
32,00032.json,sparql_gateway_failure_502_raw
80,00080.json,sparql_gateway_failure_502_raw
117,00117.json,sparql_gateway_failure_502_raw
118,00118.json,sparql_gateway_failure_502_raw
119,00119.json,sparql_gateway_failure_502_raw
120,00120.json,sparql_gateway_failure_502_raw
122,00122.json,sparql_gateway_failure_502_raw
123,00123.json,sparql_gateway_failure_502_raw
124,00124.json,sparql_gateway_failure_502_raw
125,00125.json,sparql_gateway_failure_502_raw
126,00126.json,sparql_gateway_failure_502_raw
127,00127.json,sparql_gateway_failure_502_raw
128,00128.json,sparql_gateway_failure_502_raw
129,00129.json,sparql_gateway_failure_502_raw
131,00131.json,sparql_gateway_failure_502_raw
133,00133.json,sparql_gateway_failure_502_raw
134,00134.json,sparql_gateway_failure_502_raw
136,00136.json,sparql_gateway_failure_502_raw
137,00137.json,sparql_gateway_failure_502_raw
138,00138.json,sparql_gateway_failure_502_raw
141,00141.json,sparql_gateway_failure_502_raw
142,00142.json,sparql_gateway_failure_502_raw
143,00143.json,sparql_gateway_failure_502_raw
144,00144.json,sparql_gateway_failure_502_raw
145,00145.json,sparql_gateway_failure_502_raw
146,00146.json,sparql_gateway_failure_502_raw
147,00147.json,sparql_gateway_failure_502_raw
148,00148.json,sparql_gateway_failure_502_raw
149,00149.json,sparql_gateway_failure_502_raw
